id,old_piece,new_piece,doc_hits,raw_count,est_savings,weighted_score
1010,the first,has been,136,8914,6239,6582.6400
1018,should be,one of the,102,6816,6134,6392.8000
1021,about the,", however",58,7706,6164,6314.7200
1023,", and the",is not,149,11498,5749,6124.9800
1003,with the,United States,46,4881,5857,5977.0400
1005,from the,I don't,58,9655,5793,5944.5600
1006,that the,of this,115,9399,5639,5930.0600
1007,going to,and a,154,13809,5523,5911.4000
1008,the same,as the,150,11053,5526,5904.4800
1009,you have,there is,98,8064,5644,5892.6400
